"장소ID","장소명","도로명주소","위도","경도","등록일시","수정일시","지번주소","사용여부"
1211,"비양도야영장","제주특별자치도 서귀포시 성산읍 성산등용로 107-17",33.5148043,126.9673843,18/08/29,18/08/29,"제주특별자치도 제주시 우도면 연평리 10","y"
1244,"동복뚝배기","제주특별자치도 제주시 구좌읍 동복로 30-2",33.5531629,126.7093693,18/09/03,18/09/03,"제주특별자치도 제주시 구좌읍 동복리 1685-11","y"
1215,"여객터미널","제주특별자치도 제주시 임항로 111 제주항연안여객터미널",33.5189831,126.5347288,18/08/29,18/08/29,"제주특별자치도 제주시 건입동 918-32","y"
1216,"대명 샤인빌 리조트","",33.3171527,126.8304554,18/08/31,18/08/31,"제주특별자치도 서귀포시 표선면 표선리 1087-1","y"
1218,"제주도국제공항","제주특별자치도 제주시 공항로 2",33.5080458,126.4924423,18/08/31,18/08/31,"제주특별자치도 제주시 용담2동 2002","y"
1221,"올레국수","제주특별자치도 제주시 신대로 63",33.4915044,126.497015,18/09/01,18/09/01,"제주특별자치도 제주시 연동 301-10","y"
1224,"협재해수욕장","제주특별자치도 제주시 한림읍 한림로 300",33.3909175,126.2416199,18/09/01,18/09/01,"제주특별자치도 제주시 한림읍 협재리 2610-1","y"
1246,"제주황금문어","제주특별자치도 서귀포시 칠십리로 157 태평양횟집",33.2450832,126.569974,18/09/03,18/09/03,"제주특별자치도 서귀포시 정방동 101-4","y"
1245,"라이트아트페스타","제주특별자치도 제주시 조천읍 선교로 115-1 다희연",33.4868851,126.7070631,18/09/03,18/09/03,"제주특별자치도 제주시 조천읍 선흘리 600-6","y"
1247,"제주어사또","제주특별자치도 제주시 조천읍 조함해안로 478",33.5430835,126.6640026,18/09/03,18/09/03,"제주특별자치도 제주시 조천읍 함덕리 1252-43","y"
1248,"카페","제주특별자치도 제주시 조천읍 조함해안로 478",33.2407478,126.5459599,18/09/03,18/09/03,"제주특별자치도 서귀포시 천지동 794-3","y"
1249,"목동그릴","제주특별자치도 제주시 관덕로13길 3",33.5134857,126.5257918,18/09/03,18/09/03,"제주특별자치도 제주시 일도1동 1465-4","y"
1250,"공항","",33.497231,126.4934288,18/09/03,18/09/03,"제주특별자치도 제주시 용담2동 1810","y"
1251,"에어그라운드","",33.2857504,126.748962,18/09/03,18/09/03,"제주특별자치도 서귀포시 남원읍 태흥리 405-1","y"
1252,"제주항공","제주특별자치도 제주시 연삼로 121 에스포아",33.4934585,126.5051843,18/09/03,18/09/03,"제주특별자치도 제주시 오라동 2820","y"
1257,"눈의꽃펜션","제주특별자치도 제주시 한림읍 한림상로 280",33.4232019,126.266716,18/09/04,18/09/04,"제주특별자치도 제주시 한림읍 대림리 2007-3","y"
1255,"스마트렌트카","제주특별자치도 제주시 오도11길 19",33.4896021,126.4601011,18/09/03,18/09/03,"제주특별자치도 제주시 이호동 1112-2","y"
997,"크랩잭","제주특별자치도 제주시 애월해안로 765",33.4855099,126.3818658,18/08/05,18/08/05,"제주특별자치도 제주시 애월읍 구엄리 505","y"
999,"바당언덕(숙소)","제주특별자치도 서귀포시 서리오름로 191-12",33.2581222,126.6042658,18/08/05,18/08/05,"제주특별자치도 서귀포시 효돈동 1045-4","y"
1008,"춤추는달","제주특별자치도 서귀포시 중문상로192번길 49",33.2680635,126.4313168,18/08/06,18/08/06,"제주특별자치도 서귀포시 중문동 802-3","y"
1011,"신성리조트","제주특별자치도 서귀포시 이어도로 989",33.2423602,126.5183816,18/08/07,18/08/07,"제주특별자치도 서귀포시 대륜동 87-1","y"
1067,"드르쿰다","",33.4030598,126.7833083,18/08/10,18/08/10,"제주특별자치도 서귀포시 성산읍 고성리 1180-2","y"
1080,"주상절리","제주특별자치도 서귀포시 일주동로 4146-20",33.2321535,126.4298505,18/08/10,18/08/10,"제주특별자치도 서귀포시 중문동","y"
1195,"다락마마 숙소","제주특별자치도 제주시 문송1길 19",33.5171859,126.8662783,18/08/27,18/08/27,"제주특별자치도 제주시 용담2동 2002-7","y"
1150,"제주국제공항","제주특별자치도 제주시 공항로 2",33.5066346,126.4928032,18/08/20,18/08/20,"제주특별자치도 제주시 용담2동 2002","y"
1138,"마구로쇼쿠도","제주특별자치도 제주시 남광북1길 31-1 동아빌딩",33.496073,126.536751,18/08/17,18/08/17,"제주특별자치도 제주시 이도2동 1063-11","y"
1160,"르토아베이스먼트 카페","제주특별자치도 서귀포시 성산읍 한도로 269-37",33.533143,126.8439889,18/08/21,18/08/21,"제주특별자치도 제주시 아라동 산67-18","y"
1177,"종달항 ","",33.4948929,126.9091873,18/08/25,18/08/25,"제주특별자치도 제주시 구좌읍 종달리 572-3","y"
1200,"토끼썸 피크닉 카페","제주특별자치도 제주시 공항로 2",33.521922,126.8988501,18/08/27,18/08/27,"제주특별자치도 제주시 우도면 연평리 1767","y"
1197,"제주공항","제주특별자치도 제주시 공항로 2",33.5061861,126.4926534,18/08/27,18/08/27,"제주특별자치도 제주시 용담2동 2002","y"
1198,"우도","제주특별자치도 제주시 공항로 2",33.4957171,126.9511925,18/08/27,18/08/27,"제주특별자치도 제주시 우도면 연평리 1767","y"
1203,"제주 해녀박물관","제주특별자치도 제주시 공항로 2",33.5234818,126.8633559,18/08/27,18/08/27,"제주특별자치도 제주시 우도면 연평리 1767","y"
1204,"구좌상회 카페","제주특별자치도 제주시 공항로 2",33.5562022,126.7927221,18/08/27,18/08/27,"제주특별자치도 제주시 우도면 연평리 1767","y"
1220,"제주공항","",33.5038768,126.4943854,18/09/01,18/09/01,"제주특별자치도 제주시 용담2동 1969-4","y"
1222,"이호테우 해변","제주특별자치도 제주시 테우해안로 172-23",33.4965925,126.4526536,18/09/01,18/09/01,"제주특별자치도 제주시 이호동 1665-1","y"
