property-title,rating,price,link,location,latitude,longitude
Grand Hyatt Jeju,Scored 8.9 8.9,$219,https://www.booking.com/hotel/kr/grand-hyatt-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=678232218_285630654_2_2_0&highlighted_blocks=678232218_285630654_2_2_0&matching_block_id=678232218_285630654_2_2_0&sr_pri_blocks=678232218_285630654_2_2_0__29800000&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Shin Shin Hotel Cheonjiyeon,Scored 7.7 7.7,$32,https://www.booking.com/hotel/kr/eden-hotelideun.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=407044803_0_2_0_0&highlighted_blocks=407044803_0_2_0_0&matching_block_id=407044803_0_2_0_0&sr_pri_blocks=407044803_0_2_0_0__4351558&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
Jeju I've Hotel & Resort,Scored 7.9 7.9,$26,https://www.booking.com/hotel/kr/jeju-ive.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=13&hapos=13&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=113944201_308874845_2_2_0&highlighted_blocks=113944201_308874845_2_2_0&matching_block_id=113944201_308874845_2_2_0&sr_pri_blocks=113944201_308874845_2_2_0__3499920&from_sustainable_property_sr=1&from=searchresults,Seogwipo,33.2532177,126.5609945
Golden Park Hotel,Scored 7.9 7.9,$28,https://www.booking.com/hotel/kr/golden-park.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=14&hapos=14&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__3750079&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Ocean Suites Jeju Hotel,Scored 8.0 8.0,$55,https://www.booking.com/hotel/kr/ocean-suites-jeju-jeju.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=15&hapos=15&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=101479708_190176311_2_2_0&highlighted_blocks=101479708_190176311_2_2_0&matching_block_id=101479708_190176311_2_2_0&sr_pri_blocks=101479708_190176311_2_2_0__7500000&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Velum Resort,Scored 8.8 8.8,$158,https://www.booking.com/hotel/kr/belrumrijoteu.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=16&hapos=16&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=722762408_378630912_2_2_0&highlighted_blocks=722762408_378630912_2_2_0&matching_block_id=722762408_378630912_2_2_0&sr_pri_blocks=722762408_378630912_2_2_0__21450000&from_sustainable_property_sr=1&from=searchresults,Seogwipo,33.2532177,126.5609945
Hotel Sirius,Scored 8.2 8.2,$63,https://www.booking.com/hotel/kr/sirius.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=17&hapos=17&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=318899301_0_2_0_0&highlighted_blocks=318899301_0_2_0_0&matching_block_id=318899301_0_2_0_0&sr_pri_blocks=318899301_0_2_0_0__8568699&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Aria Hotel,Scored 8.6 8.6,$71,https://www.booking.com/hotel/kr/aria.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=18&hapos=18&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=91225407_0_2_0_0&highlighted_blocks=91225407_0_2_0_0&matching_block_id=91225407_0_2_0_0&sr_pri_blocks=91225407_0_2_0_0__9686119&from_sustainable_property_sr=1&from=searchresults,"Jungmun Beach, Seogwipo",33.2451968,126.4111861
Phoenix Island,Scored 7.5 7.5,$154,https://www.booking.com/hotel/kr/phoenix-island.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=19&hapos=19&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=0_0_2_0_0&highlighted_blocks=0_0_2_0_0&matching_block_id=0_0_2_0_0&sr_pri_blocks=0_0_2_0_0__20970298&from_sustainable_property_sr=1&from=searchresults,"Seongsan, Seogwipo",33.4180535,126.8648302
The Grand Sumorum,Scored 8.6 8.6,$114,https://www.booking.com/hotel/kr/sumorum.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=20&hapos=20&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=81332626_147195036_2_2_0&highlighted_blocks=81332626_147195036_2_2_0&matching_block_id=81332626_147195036_2_2_0&sr_pri_blocks=81332626_147195036_2_2_0__15427500&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
WE Hotel Jeju,Scored 8.5 8.5,$184,https://www.booking.com/hotel/kr/the-we.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=21&hapos=21&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=128027235_325981514_2_2_0&highlighted_blocks=128027235_325981514_2_2_0&matching_block_id=128027235_325981514_2_2_0&sr_pri_blocks=128027235_325981514_2_2_0__25032874&from_sustainable_property_sr=1&from=searchresults,Seogwipo,33.2532177,126.5609945
Jeju Bolton Hotel,Scored 8.5 8.5,$98,https://www.booking.com/hotel/kr/jejubolteunhotel.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=22&hapos=22&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=1113655908_0_2_0_0&highlighted_blocks=1113655908_0_2_0_0&matching_block_id=1113655908_0_2_0_0&sr_pri_blocks=1113655908_0_2_0_0__13337082&from_sustainable_property_sr=1&from=searchresults,"Jeju City, Jeju",33.5042779,126.519838
Hotel bridge Seogwipo,Scored 8.0 8.0,$41,https://www.booking.com/hotel/kr/hotel-bridge-seogwipo.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=23&hapos=23&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=213536918_0_2_0_0&highlighted_blocks=213536918_0_2_0_0&matching_block_id=213536918_0_2_0_0&sr_pri_blocks=213536918_0_2_0_0__5558589&from_sustainable_property_sr=1&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
Eastern Hotel Jeju,Scored 7.9 7.9,$34,https://www.booking.com/hotel/kr/ramada-encore-east-seogwipo.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=24&hapos=24&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=153186422_380185240_2_2_0&highlighted_blocks=153186422_380185240_2_2_0&matching_block_id=153186422_380185240_2_2_0&sr_pri_blocks=153186422_380185240_2_2_0__4560000&from=searchresults,"Seogwipo City, Seogwipo",33.2532177,126.5609945
Y Resort Jeju,Scored 8.7 8.7,$88,https://www.booking.com/hotel/kr/y-resort.html?aid=304142&label=gen173nr-1FCAQoggJCEnNlYXJjaF9qZWp1IGlzbGFuZEgxWARooAKIAQGYATG4ARfIAQzYAQHoAQH4AQOIAgGoAgO4Avj6ibYGwAIB0gIkOWVhZDBiMTgtYzMwNC00MTdiLTkwZTAtYWMyN2Y1NGNjYTRk2AIF4AIB&ucfs=1&arphpl=1&checkin=2024-09-19&checkout=2024-09-20&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=25&hapos=25&sr_order=popularity&srpvid=7f7ca1fc41b00144&srepoch=1724022138&all_sr_blocks=49923701_0_2_1_0&highlighted_blocks=49923701_0_2_1_0&matching_block_id=49923701_0_2_1_0&sr_pri_blocks=49923701_0_2_1_0__11961692&from_sustainable_property_sr=1&from=searchresults,"Andeok, Seogwipo",33.2926011,126.3476551
